major,major_category,10p_starting,25p_starting,median_starting,75p_staring,90p_starting,10p_mid,25p_mid,median_mid,75p_mid,90p_mid
Accounting,Business,0.0,8475.0,32000.0,48425.0,59500.0,0.0,18000.0,50000.0,80000.0,110000.0
Actuarial science,Business,41400.0,43500.0,47000.0,50500.0,52600.0,14800.0,37000.0,74000.0,111000.0,133200.0
Advertising and public relations,Communications & Journalism,1010.0,10975.0,24000.0,40500.0,57200.000000000044,1050.0000000000002,26500.0,53500.0,84250.0,121499.99999999997
Aerospace engineering,Engineering,216.0000000000002,8400.0,35000.0,63000.0,70400.0,24000.0,55000.0,80000.0,94000.0,108000.0
Agricultural economics,Agriculture & Natural Resources,16800.0,24000.0,36000.0,41500.0,44800.0,20000.0,40000.0,73500.0,100850.0,129900.0
Agriculture production and management,Agriculture & Natural Resources,6550.0,15500.0,24500.0,37050.0,49500.0,25600.0,40500.0,60000.0,74500.0,109600.0
Animal sciences,Agriculture & Natural Resources,0.0,1075.0,9500.0,22125.0,45850.0,14000.000000000002,24800.0,45000.0,61000.0,157000.00000000003
Anthropology and archeology,Humanities & Liberal Arts,0.0,5200.0,15250.0,27750.0,41800.000000000015,150.00000000000034,20375.0,43000.0,65750.0,97600.00000000003
Applied mathematics,Computers & Mathematics,0.0,8000.0,17250.0,41000.0,50200.0,32000.0,35000.0,40000.0,45000.0,48000.0
Architectural engineering,Engineering,51000.0,52500.0,55000.0,57500.0,59000.0,18000.000000000004,45000.0,85000.0,112500.0,117000.0
Architecture,Engineering,0.0,0.0,14200.0,42000.0,56000.0,0.0,20000.0,57000.0,80000.0,112599.99999999997
Area ethnic and civilization studies,Humanities & Liberal Arts,1720.0000000000002,5475.0,23450.0,40000.0,48120.00000000001,0.0,2725.0,35000.0,63000.0,98500.00000000003
Art and music education,Education,3300.0000000000005,11600.0,23650.0,36000.0,40000.0,0.0,3000.0,36000.0,50000.0,65799.99999999999
Art history and criticism,Humanities & Liberal Arts,3320.000000000001,10000.0,29300.0,42000.0,49999.99999999999,0.0,15375.0,34000.0,61250.0,73100.00000000004
Astronomy and astrophysics,Physical Sciences,2540.0,5000.0,8300.0,17000.0,31400.0,31000.0,31000.0,31000.0,31000.0,31000.0
Atmospheric sciences and meteorology,Physical Sciences,11700.0,15000.0,21250.0,26750.0,36500.0,25500.000000000004,63750.0,102500.0,130000.0,148000.0
Biochemical sciences,Biology & Life Science,0.0,1725.0,15500.0,30250.0,42450.0,0.0,21000.0,50000.0,84500.0,130000.0
Biological engineering,Engineering,0.0,0.0,21000.0,53000.0,64999.999999999985,7200.0,28500.0,60000.0,84500.0,139499.99999999997
Biology,Biology & Life Science,0.0,1000.0,9700.0,25000.0,41000.0,0.0,22225.0,42950.0,70000.0,97300.0
Biomedical engineering,Engineering,1700.0000000000002,5750.0,15000.0,32750.0,53100.000000000015,900.0000000000001,58750.0,85500.0,115750.0,157000.0
Botany,Biology & Life Science,15000.0,22500.0,35000.0,47500.0,55000.0,11250.0,19925.0,50100.0,70000.0,82500.0
Business economics,Business,6600.0,15000.0,35000.0,50000.0,60200.0,28600.000000000004,47250.0,87000.0,126250.0,375500.00000000006
Business management and administration,Business,2530.0000000000005,12475.0,30000.0,46000.0,65000.0,340.00000000000057,26000.0,51000.0,80000.0,120000.0
Chemical engineering,Engineering,0.0,8500.0,47500.0,70000.0,87000.0,0.0,30500.0,89000.0,120000.0,140000.0
Chemistry,Physical Sciences,200.0,3050.0,16800.0,34350.0,49000.0,0.0,9000.0,48250.0,81750.0,99090.0
Civil engineering,Engineering,380.0000000000004,9050.0,35900.0,60000.0,74400.0,12000.0,60000.0,80000.0,100000.0,143800.00000000003
Clinical psychology,Psychology & Social Work,0.0,0.0,6200.0,37500.0,39000.0,400.0,1000.0,5100.0,5100.0,15720.000000000002
Cognitive science and biopsychology,Biology & Life Science,0.0,750.0,6500.0,25500.0,30999.999999999996,42600.00000000001,70000.0,110000.0,147500.0,258400.0000000001
Commercial art and graphic design,Arts,711.0000000000002,10000.0,25000.0,40000.0,50000.0,0.0,12250.0,38150.0,65000.0,114200.0
Communication disorders sciences and services,Health,100.00000000000054,4950.0,9700.0,24750.0,41800.0,0.0,0.0,6000.0,50750.0,69200.00000000001
Communication technologies,Computers & Mathematics,780.0000000000002,8500.0,20000.0,31500.0,53800.00000000001,0.0,28000.0,39000.0,67500.0,97500.0
Communications,Communications & Journalism,1800.0,10350.0,25000.0,40000.0,52000.0,0.0,11550.0,48000.0,80000.0,122000.00000000017
Community and public health,Health,50.00000000000027,2550.0,13000.0,28750.0,46519.99999999999,0.0,12000.0,29000.0,40000.0,56200.0
