School Name,State,Region,College_Type,Tuition_In,Tuition_Out,Cost of Attendance (Academic),Highest Degree Awarded,Mean Earnings,10th Percentile Earnings,25th Percentile Earnings,Median Earnings,75th Percentile Earnings,90th Percentile Earnings
Alabama A & M University,AL,Southeast,Public,9857.0,18236.0,22886.0,Business Marketing,35500,6700,17800,31000,46000,70000
University of Alabama at Birmingham,AL,Southeast,Public,8328.0,19032.0,24129.0,Health,48400,10900,26300,41200,59900,84000
Amridge University,AL,Southeast,Private,6900.0,6900.0,15080.0,Business Marketing,47600,6800,25200,39600,60300,79500
University of Alabama in Huntsville,AL,Southeast,Public,10280.0,21480.0,22108.0,Engineering,52000,12900,28300,46700,73100,93300
Alabama State University,AL,Southeast,Public,11068.0,19396.0,19413.0,Health,30600,7100,15600,27700,41500,55400
The University of Alabama,AL,Southeast,Public,10780.0,28100.0,28836.0,Business Marketing,51600,13100,29000,44500,66100,85000
Central Alabama Community College,AL,Southeast,Public,4440.0,8010.0,10045.0,Humanities,32400,7000,16100,27700,43500,58800
Auburn University at Montgomery,AL,Southeast,Public,8020.0,17140.0,19892.0,Health,38000,9500,20500,33300,48500,66300
Auburn University,AL,Southeast,Public,10968.0,29640.0,30458.0,Business Marketing,56300,13800,32700,48800,72700,91400
Birmingham Southern College,AL,Southeast,Private,35804.0,35804.0,50400.0,Business Marketing,53100,9800,26900,46700,68700,77600
Chattahoochee Valley Community College,AL,Southeast,Public,4314.0,7884.0,6854.0,Humanities,31300,5500,16600,28900,41800,58700
Concordia College Alabama,AL,Southeast,Private,10320.0,10320.0,27620.0,Humanities,25400,5400,13400,20600,34400,44500
South University-Montgomery,AL,Southeast,Private,17014.0,17014.0,26613.0,Health,40200,7100,17600,33400,54000,67200
Enterprise State Community College,AL,Southeast,Public,4440.0,8010.0,9289.0,Mechanic,42700,5700,16900,31800,60400,58700
Coastal Alabama Community College,AL,Southeast,Public,4380.0,7890.0,12558.0,Humanities,33900,5100,15700,29100,45200,59500
Faulkner University,AL,Southeast,Private,20970.0,20970.0,31720.0,Business Marketing,40700,9800,21300,35400,53400,80700
Gadsden State Community College,AL,Southeast,Public,3600.0,6456.0,9701.0,Mechanic,30200,5600,14100,26700,41500,58300
George C Wallace Community College-Dothan,AL,Southeast,Public,4380.0,7950.0,9298.0,Health,29800,7100,14200,24700,40400,64200
George C Wallace State Community College-Hanceville,AL,Southeast,Public,3726.0,6582.0,11408.0,Health,34800,4900,17000,32200,47600,57100
George C Wallace State Community College-Selma,AL,Southeast,Public,4140.0,7710.0,14571.0,Humanities,27300,6100,13300,23300,36600,57100
Herzing University-Birmingham,AL,Southeast,Private,13850.0,13850.0,27797.0,Health,41600,12300,22900,37800,54700,77200
Huntingdon College,AL,Southeast,Private,26400.0,26400.0,34675.0,Business Marketing,43600,9100,25900,39900,54500,73200
J. F. Drake State Community and Technical College,AL,Southeast,Public,4410.0,7980.0,11514.0,Engineering Technology,27600,7000,12600,23800,37100,49500
Jacksonville State University,AL,Southeast,Public,8166.0,15582.0,20890.0,Health,38100,9000,21000,35800,48600,64200
Jefferson Davis Community College,AL,Southeast,Public,4088.0,7598.0,11677.0,Humanities,30900,6500,13400,26200,41900,58600
Jefferson State Community College,AL,Southeast,Public,4500.0,8070.0,13017.0,Health,33800,8000,16300,30600,46100,61200
John C Calhoun State Community College,AL,Southeast,Public,4520.0,8090.0,9907.0,Humanities,32200,6000,14700,28000,44100,62800
Judson College,AL,Southeast,Private,17896.0,17896.0,30306.0,Health,29300,9300,13600,26100,39500,57100
Lawson State Community College,AL,Southeast,Public,4440.0,8010.0,13685.0,Humanities,26600,6100,12300,23400,36500,51500
University of West Alabama,AL,Southeast,Public,9204.0,16818.0,19671.0,Business Marketing,40400,8500,22900,37400,52100,63700
Lurleen B Wallace Community College,AL,Southeast,Public,4440.0,8010.0,13663.0,Humanities,32000,7900,15500,26500,40700,60100
Miles College,AL,Southeast,Private,11794.0,11794.0,22346.0,Business Marketing,29500,6400,15300,26500,39700,51200
University of Mobile,AL,Southeast,Private,22210.0,22210.0,35256.0,Business Marketing,38700,9600,22300,35200,50800,73400
University of Montevallo,AL,Southeast,Public,12400.0,25030.0,23938.0,Visual Performing,36100,9900,20400,34200,46800,62300
Northwest-Shoals Community College,AL,Southeast,Public,4411.0,7921.0,11386.0,Humanities,30800,5900,13600,25600,42600,59300
University of North Alabama,AL,Southeast,Public,8480.0,15128.0,18223.0,Business Marketing,42800,9800,23400,37800,54400,68400
Northeast Alabama Community College,AL,Southeast,Public,4440.0,8010.0,8350.0,Humanities,31700,5300,15000,27900,43000,58100
Oakwood University,AL,Southeast,Private,16720.0,16720.0,35577.0,Health,37400,7900,15500,29700,51100,75600
Alabama Southern Community College,AL,Southeast,Public,4380.0,7890.0,11265.0,Humanities,31400,4400,14500,25500,40600,55300
Reid State Technical College,AL,Southeast,Public,4500.0,8070.0,8804.0,Health,26800,5200,12500,22000,36300,45700
Bishop State Community College,AL,Southeast,Public,4440.0,8010.0,10349.0,Transportation,28300,5900,13600,22800,38300,54300
Samford University,AL,Southeast,Private,30490.0,30490.0,44896.0,Health,59800,12600,31700,49900,75500,124000
Shelton State Community College,AL,Southeast,Public,4189.0,7759.0,11414.0,Humanities,31100,4800,15000,27100,41300,55800
Snead State Community College,AL,Southeast,Public,4500.0,8070.0,10704.0,Humanities,30700,5500,14800,27800,42000,52700
University of South Alabama,AL,Southeast,Public,7812.0,15324.0,18857.0,Health,46800,10500,22200,37800,57000,78800
Spring Hill College,AL,Southeast,Private,37584.0,37584.0,50787.0,Business Marketing,51300,15500,27400,45100,63100,84300
Stillman College,AL,Southeast,Private,10792.0,10792.0,20205.0,Biological,33700,5100,16000,28200,41500,51500
